,HeadLine,Sentiment,Date,URL
0,Healthcare Realty Trust Incorporated 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-15T22:25:11-04:00,https://seekingalpha.com/article/4511894-healthcare-realty-trust-incorporated-2022-q1-results-earnings-call-presentation
1,National Storage Affiliates Trust 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-15T22:05:34-04:00,https://seekingalpha.com/article/4511883-national-storage-affiliates-trust-2022-q1-results-earnings-call-presentation
2,Macro And Prices: Sentiment Swings Between Inflation And Recession,0,2022-05-15T12:52:00-04:00,https://seekingalpha.com/article/4511801-macro-and-prices-sentiment-swings-between-inflation-and-recession
3,"U.S. And Global Stocks, Bonds, USD, Precious Metals And Commodities",-1,2022-05-15T12:03:51-04:00,https://seekingalpha.com/article/4511795-us-and-global-stocks-bonds-usd-precious-metals-and-commodities
4,The Stock Market: The New Policy Focus Of The Federal Reserve,-1,2022-05-15T09:46:24-04:00,https://seekingalpha.com/article/4511782-stock-market-new-policy-focus-federal-reserve
5,Buy The Dip: Interest Rates Are Likely Near Their Peak,-1,2022-05-15T09:00:00-04:00,https://seekingalpha.com/article/4510705-buy-the-dip-interest-rates-are-likely-near-their-peak
6,Compass: This Real Estate Titan Is Too Good Of A Steal To Pass On,-1,2022-05-15T03:50:05-04:00,https://seekingalpha.com/article/4511728-compass-real-estate-titan-good-steal-pass
7,Klepierre: A Strong European REIT With A ~7.9% Dividend,1,2022-05-15T02:11:25-04:00,https://seekingalpha.com/article/4511709-klepierre-strong-european-reit-attractive-dividend
8,Icade: Align Yourself With French Governmental Real Estate,0,2022-05-15T02:01:49-04:00,https://seekingalpha.com/article/4511707-icade-align-with-french-governmental-real-estate
9,Weekly S&P 500 ChartStorm - 15 May 2022,-1,2022-05-15T00:55:25-04:00,https://seekingalpha.com/article/4511703-weekly-s-and-p-500-chartstorm-15-may-2022
10,Strong Dollar Grounds Gold Despite Soaring Inflation,-1,2022-05-14T23:12:00-04:00,https://www.vaneck.com/us/en/blogs/gold-investing/joe-foster-strong-dollar-grounds-gold-despite-soaring-inflation/
11,The Russia-Ukraine Crisis And The Shifting Environment For Global Upstream Investment,1,2022-05-14T22:08:00-04:00,https://seekingalpha.com/article/4511684-russia-ukraine-crisis-and-shifting-environment-for-global-upstream-investment
12,The Most Difficult Thing In Economics...Is To Explain Rising Prices,-1,2022-05-14T14:58:00-04:00,https://seekingalpha.com/article/4511612-the-most-difficult-thing-in-economicsis-to-explain-rising-prices
13,MLP Monthly Report: May 2022,1,2022-05-14T13:54:00-04:00,https://seekingalpha.com/article/4511595-mlp-monthly-report-may-2022
14,Is The U.S. Economy Heading Into A Recession?,-1,2022-05-14T13:19:00-04:00,https://seekingalpha.com/article/4511592-is-the-us-economy-heading-into-a-recession
15,"The Yield Curve Predicts Recession - Sometimes, But Not Today",-1,2022-05-14T12:26:00-04:00,https://seekingalpha.com/article/4511583-the-yield-curve-predicts-recessionsometimes-but-not-today
16,The End Of Globalization And Easy Money - How You Should Invest,-1,2022-05-14T11:48:47-04:00,https://seekingalpha.com/article/4511576-the-end-of-globalization-and-easy-money-how-you-should-invest
