,HeadLine,Sentiment,Date,URL
0,Weekly Indicators: Long Leading Forecast Moves Towards Neutrality,1,2022-01-07T22:38:18-05:00,https://seekingalpha.com/article/4478533-weekly-indicators-long-leading-forecast-moves-towards-neutrality
1,It's Time To Slam The Door Shut On Opendoor,-1,2022-01-07T16:29:44-05:00,https://seekingalpha.com/article/4478505-opendoor-time-to-slam-the-door-shut
2,The Fed Is About To Make A Massive Policy Error,-1,2022-01-07T16:22:39-05:00,https://seekingalpha.com/article/4478503-the-fed-is-about-to-make-a-massive-policy-error
3,NFTs Had A Huge 2021 - What Comes Next?,1,2022-01-07T16:17:50-05:00,https://seekingalpha.com/article/4478500-nfts-had-huge-2021-what-next
4,The Pain Is Almost Over,-1,2022-01-07T14:54:00-05:00,https://seekingalpha.com/article/4478487-pain-almost-over
5,Institutional Interest Can Elevate Bitcoin Beyond Its Cycles,0,2022-01-07T14:16:27-05:00,https://seekingalpha.com/article/4478483-institutional-interest-can-elevate-bitcoin-beyond-cycles
6,Big Gold Breakout Nearing,1,2022-01-07T14:09:25-05:00,https://seekingalpha.com/article/4478475-big-gold-breakout-nearing
7,Bitcoin 2022: Brace For Crypto Winter,0,2022-01-07T13:20:43-05:00,https://seekingalpha.com/article/4478469-bitcoin-2022-brace-for-crypto-winter
8,The Trouble With Bitcoin In 2022: It's Still 'Tech',-1,2022-01-07T12:48:12-05:00,https://seekingalpha.com/article/4478460-trouble-with-bitcoin-2022-still-tech
9,Elevated Risk Exposure Magnifies Drawdown Impact,-1,2022-01-07T10:38:00-05:00,https://seekingalpha.com/article/4478438-elevated-risk-exposure-magnifies-drawdown-impact
10,GameStop: Time To Go All In On NFTs,0,2022-01-07T10:31:49-05:00,https://seekingalpha.com/article/4478437-gamestop-all-in-nfts
11,The ECB Will Continue To Support Bond Markets In 2022 Despite Lower Net Purchases,0,2022-01-07T10:22:00-05:00,https://seekingalpha.com/article/4478434-ecb-support-bond-markets-2022-despite-lower-net-purchases
12,Federal Reserve Watch: Things Are Not Comfortable At The Fed,0,2022-01-07T09:53:16-05:00,https://seekingalpha.com/article/4478431-federal-reserve-watch-things-not-comfortable
13,Aluminium Breaks Higher On Supply Constraints,-1,2022-01-07T09:47:00-05:00,https://think.ing.com/snaps/aluminium-breaks-higher-on-supply-constraints/
14,"Is Extra Space Storage A Buy, Sell Or Hold At All-Time Highs?",1,2022-01-07T09:30:00-05:00,https://seekingalpha.com/article/4478413-extra-space-storage-buy-sell-hold
15,"Could It Be Another 'Buy-The-Rumor, Sell-The-Fact' For The Dollar On The U.S. Jobs Report?",0,2022-01-07T09:04:00-05:00,https://seekingalpha.com/article/4478423-could-be-another-buy-rumor-sell-fact-for-dollar-us-jobs-report
16,Fed December Meeting Minutes,-1,2022-01-07T09:03:00-05:00,https://seekingalpha.com/article/4478422-fed-december-meeting-minutes
17,The Fed Released Its December FOMC Minutes; I Have Questions,-1,2022-01-07T07:18:00-05:00,https://seekingalpha.com/article/4478409-fed-december-fomc-minutes-questions
18,Can The S&P 500 Keep Rising In 2022? The Short Answer Is Yes,1,2022-01-07T06:10:12-05:00,https://seekingalpha.com/article/4478403-s-and-p-500-can-keep-rising-in-2022
19,AAII Sentiment Survey: Neutral And Bearish Sentiment Rebound,0,2022-01-07T04:54:39-05:00,https://seekingalpha.com/article/4478395-aaii-sentiment-survey-neutral-bearish-sentiment-rebound
20,Kimco Realty: I Am Still Averaging Up On This REIT,0,2022-01-07T02:26:58-05:00,https://seekingalpha.com/article/4478381-kimco-realty-kim-averaging-up-on-reit
21,"Here's Looking At You, QT",1,2022-01-07T01:03:46-05:00,https://seekingalpha.com/article/4478371-looking-at-you-qt-quantitative-tightening
22,"A Cyclical Bottom Is Imminent For Bitcoin, Gold And Silver",-1,2022-01-06T19:58:48-05:00,https://seekingalpha.com/article/4478343-a-cyclical-bottom-is-imminent-for-bitcoin-gold-and-silver
23,The Markets Consolidated Yesterday's Losses (Technically Speaking For 1/6),0,2022-01-06T19:54:23-05:00,https://seekingalpha.com/article/4478342-the-markets-consolidated-yesterdays-losses-technically-speaking-for-1-6
24,MicroStrategy Incorporated: Software Stock Is A Solid Bitcoin Tracker,1,2022-01-06T19:12:48-05:00,https://seekingalpha.com/article/4478338-microstrategy-software-stock-solid-bitcoin-tracker
25,Coinbase: Crypto Is Here To Stay,0,2022-01-06T17:54:55-05:00,https://seekingalpha.com/article/4478325-coinbase-crypto-is-here-to-stay
26,Weather Models Suggest More Cold On The Horizon While Natural Gas Production Remains Down,-1,2022-01-06T17:18:51-05:00,https://seekingalpha.com/article/4478319-weather-models-suggest-more-cold-on-the-horizon-while-natural-gas-production-remains-down
27,"The Great Gold Love Trade Is Alive And Well, As India Buys A Record Amount",1,2022-01-06T17:07:55-05:00,https://seekingalpha.com/article/4478317-the-great-gold-love-trade-is-alive-and-well-as-india-buys-a-record-amount
28,The Digital World: Growth Continues Everywhere,1,2022-01-06T16:48:06-05:00,https://seekingalpha.com/article/4478312-the-digital-world-growth-continues-everywhere
29,"The Investment Case For Ethereum, Web3, And Decentralized Finance",1,2022-01-06T16:46:15-05:00,https://seekingalpha.com/article/4478310-the-investment-case-for-ethereum
30,The Fed Just Crashed The Market's Party,-1,2022-01-06T15:56:34-05:00,https://seekingalpha.com/article/4478297-the-fed-just-crashed-the-markets-party
31,"While Growth Collapses, Look Here For Undervalued Stocks Which Will Continue To Thrive In 2022",0,2022-01-06T15:51:11-05:00,https://seekingalpha.com/article/4478296-while-growth-collapses-look-here-for-undervalued-stocks-which-will-continue-to-thrive-in-2022
32,Listen To The Market And It's Saying Energy Should Outperform Tech,-1,2022-01-06T15:50:49-05:00,https://seekingalpha.com/article/4478295-listen-to-the-market-and-its-saying-energy-should-outperform-tech
33,Money Supply And Rising Interest Rates,-1,2022-01-06T15:07:00-05:00,https://seekingalpha.com/article/4478287-money-supply-and-rising-interest-rates
34,Services-Sector Growth May Have Slowed In December,0,2022-01-06T14:24:00-05:00,https://seekingalpha.com/article/4478278-services-sector-growth-may-have-slowed-in-december
35,The Year Ahead - 2022,1,2022-01-06T13:33:07-05:00,https://seekingalpha.com/article/4478268-the-year-ahead-2022
36,Weekly Initial Claims For Unemployment Benefits Remain Low As Labor Market Remains Tight,-1,2022-01-06T12:58:00-05:00,https://seekingalpha.com/article/4478260-weekly-initial-claims-for-unemployment-benefits-remain-low-as-labor-market-remains-tight
37,2022: A Year Of Transition,-1,2022-01-06T12:38:00-05:00,https://seekingalpha.com/article/4478254-2022-a-year-of-transition
38,Gold Stocks To Catapult When Gold Rallies,-1,2022-01-06T12:36:29-05:00,https://seekingalpha.com/article/4478253-gold-stocks-to-catapult-when-gold-rallies
39,"The Week On Wall Street: The Fed Speaks, The Market Retreats",-1,2022-01-07T23:35:52-05:00,https://seekingalpha.com/article/4478534-week-on-wall-street-fed-speaks-market-retreats
40,Weekly Indicators: Long Leading Forecast Moves Towards Neutrality,1,2022-01-07T22:38:18-05:00,https://seekingalpha.com/article/4478533-weekly-indicators-long-leading-forecast-moves-towards-neutrality
41,It's Time To Slam The Door Shut On Opendoor,-1,2022-01-07T16:29:44-05:00,https://seekingalpha.com/article/4478505-opendoor-time-to-slam-the-door-shut
42,The Fed Is About To Make A Massive Policy Error,-1,2022-01-07T16:22:39-05:00,https://seekingalpha.com/article/4478503-the-fed-is-about-to-make-a-massive-policy-error
43,NFTs Had A Huge 2021 - What Comes Next?,1,2022-01-07T16:17:50-05:00,https://seekingalpha.com/article/4478500-nfts-had-huge-2021-what-next
44,The Pain Is Almost Over,-1,2022-01-07T14:54:00-05:00,https://seekingalpha.com/article/4478487-pain-almost-over
45,Institutional Interest Can Elevate Bitcoin Beyond Its Cycles,0,2022-01-07T14:16:27-05:00,https://seekingalpha.com/article/4478483-institutional-interest-can-elevate-bitcoin-beyond-cycles
46,Big Gold Breakout Nearing,1,2022-01-07T14:09:25-05:00,https://seekingalpha.com/article/4478475-big-gold-breakout-nearing
47,Bitcoin 2022: Brace For Crypto Winter,0,2022-01-07T13:20:43-05:00,https://seekingalpha.com/article/4478469-bitcoin-2022-brace-for-crypto-winter
48,The Trouble With Bitcoin In 2022: It's Still 'Tech',-1,2022-01-07T12:48:12-05:00,https://seekingalpha.com/article/4478460-trouble-with-bitcoin-2022-still-tech
49,Elevated Risk Exposure Magnifies Drawdown Impact,-1,2022-01-07T10:38:00-05:00,https://seekingalpha.com/article/4478438-elevated-risk-exposure-magnifies-drawdown-impact
50,GameStop: Time To Go All In On NFTs,0,2022-01-07T10:31:49-05:00,https://seekingalpha.com/article/4478437-gamestop-all-in-nfts
51,The ECB Will Continue To Support Bond Markets In 2022 Despite Lower Net Purchases,0,2022-01-07T10:22:00-05:00,https://seekingalpha.com/article/4478434-ecb-support-bond-markets-2022-despite-lower-net-purchases
52,Federal Reserve Watch: Things Are Not Comfortable At The Fed,0,2022-01-07T09:53:16-05:00,https://seekingalpha.com/article/4478431-federal-reserve-watch-things-not-comfortable
53,Aluminium Breaks Higher On Supply Constraints,-1,2022-01-07T09:47:00-05:00,https://think.ing.com/snaps/aluminium-breaks-higher-on-supply-constraints/
54,"Is Extra Space Storage A Buy, Sell Or Hold At All-Time Highs?",1,2022-01-07T09:30:00-05:00,https://seekingalpha.com/article/4478413-extra-space-storage-buy-sell-hold
55,"Could It Be Another 'Buy-The-Rumor, Sell-The-Fact' For The Dollar On The U.S. Jobs Report?",0,2022-01-07T09:04:00-05:00,https://seekingalpha.com/article/4478423-could-be-another-buy-rumor-sell-fact-for-dollar-us-jobs-report
56,Fed December Meeting Minutes,-1,2022-01-07T09:03:00-05:00,https://seekingalpha.com/article/4478422-fed-december-meeting-minutes
57,The Fed Released Its December FOMC Minutes; I Have Questions,-1,2022-01-07T07:18:00-05:00,https://seekingalpha.com/article/4478409-fed-december-fomc-minutes-questions
58,Can The S&P 500 Keep Rising In 2022? The Short Answer Is Yes,1,2022-01-07T06:10:12-05:00,https://seekingalpha.com/article/4478403-s-and-p-500-can-keep-rising-in-2022
59,AAII Sentiment Survey: Neutral And Bearish Sentiment Rebound,0,2022-01-07T04:54:39-05:00,https://seekingalpha.com/article/4478395-aaii-sentiment-survey-neutral-bearish-sentiment-rebound
60,Kimco Realty: I Am Still Averaging Up On This REIT,0,2022-01-07T02:26:58-05:00,https://seekingalpha.com/article/4478381-kimco-realty-kim-averaging-up-on-reit
61,"Here's Looking At You, QT",1,2022-01-07T01:03:46-05:00,https://seekingalpha.com/article/4478371-looking-at-you-qt-quantitative-tightening
62,"A Cyclical Bottom Is Imminent For Bitcoin, Gold And Silver",-1,2022-01-06T19:58:48-05:00,https://seekingalpha.com/article/4478343-a-cyclical-bottom-is-imminent-for-bitcoin-gold-and-silver
