,HeadLine,Sentiment,Date,URL
0,Saga Partners: Redfin: Business And Competitive Advantage Have Never Been Stronger,1,2022-05-16T22:47:00-04:00,https://seekingalpha.com/article/4512312-redfin-business-and-competitive-advantage-have-never-been-stronger
1,Commodity Caution,-1,2022-05-16T22:22:00-04:00,https://seekingalpha.com/article/4512301-commodity-caution-bullish-to-bearish-on-commodities
2,Bitcoin Is Marked Down As Crypto Winter Wipes Out Billions In Market Value,-1,2022-05-16T19:09:23-04:00,https://seekingalpha.com/article/4512246-bitcoin-marked-down-crypto-winter-wipes-out-billions-market-value
3,Q1 GDP Drop Was A Freak Event That'll Get Unwound In Q2,0,2022-05-16T18:27:00-04:00,https://seekingalpha.com/article/4512235-q1-gdp-drop-freak-event-get-unwound-in-q2
4,Why Has Bitcoin Been Crashing And What's The Outlook?,0,2022-05-16T18:17:42-04:00,https://seekingalpha.com/article/4512233-why-has-bitcoin-been-crashing-whats-the-outlook
5,Extra Space Storage: A Good Buy On Weakness,0,2022-05-16T18:15:38-04:00,https://seekingalpha.com/article/4512232-extra-space-storage-a-good-buy-on-weakness
6,"Zillow: Butchered, Undervalued, And Poised To Bounce Back",-1,2022-05-16T17:23:39-04:00,https://seekingalpha.com/article/4512216-zillow-butchered-undervalued-and-poised-to-bounce-back
7,Are We There Yet?,-1,2022-05-16T16:29:00-04:00,https://seekingalpha.com/article/4512202-are-we-there-yet
8,Empire State Manufacturing Survey: Activity Declines In May,-1,2022-05-16T15:33:00-04:00,https://www.advisorperspectives.com/dshort/commentaries/2022/05/16/empire-state-mfg-survey-activity-declines-in-may
9,Why We Still Prefer Stocks Over Bonds,-1,2022-05-16T15:10:00-04:00,https://www.blackrock.com/corporate/literature/market-commentary/weekly-investment-commentary-en-us-20220516-why-we-still-prefer-stocks-over-bonds.pdf
10,S&P500: Buy Stocks On This Potentially Massively Bullish Catalyst,-1,2022-05-16T14:59:21-04:00,https://seekingalpha.com/article/4512157-s-and-p500-buy-stocks-on-this-potentially-massively-bullish-catalyst
