,News Sentiment,Article Sentiment,Technical Score daily,Technical Score weekly,Technical Score monthly,Final Score,Date
SPX,,,Strong Sell,Sell,Buy,Sell,16/05/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Sell,Strong Sell,Buy,Sell,09/05/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Sell,Sell,Buy,Sell,02/05/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Sell,Buy,Sell,25/04/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Sell,Buy,Sell,18/04/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Sell,Buy,Buy,11/04/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Buy,Strong Buy,04/04/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Buy,28/03/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Buy,Strong Buy,Netural,21/03/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Sell,Buy,Strong Buy,Sell,14/03/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Sell,Strong Buy,Sell,07/03/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Sell,Sell,Buy,Sell,28/02/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Sell,Buy,Sell,21/02/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Sell,Buy,Netural,14/02/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Netural,Buy,Netural,07/02/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Sell,Netural,Strong Buy,Sell,31/01/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Netural,Strong Buy,Sell,24/01/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Netural,Strong Buy,Buy,17/01/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,10/01/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,03/01/2022
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Buy,Buy,27/12/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Buy,Strong Buy,20/12/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Buy,Buy,Netural,13/12/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Buy,Buy,06/12/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Buy,Strong Buy,29/11/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Buy,Strong Buy,22/11/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Buy,Strong Buy,15/11/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Buy,Strong Buy,08/11/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Buy,Strong Buy,01/11/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,25/10/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Buy,Strong Buy,Netural,18/10/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Sell,Strong Buy,Strong Buy,Sell,11/10/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Buy,Strong Buy,Netural,04/10/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Buy,Strong Buy,Netural,27/09/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Buy,Strong Buy,Buy,20/09/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,13/09/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,06/09/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,30/08/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,23/08/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,16/08/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,09/08/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,02/08/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,26/07/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,19/07/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,12/07/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,05/07/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Buy,Strong Buy,Buy,28/06/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,21/06/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Buy,Strong Buy,Strong Buy,14/06/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Buy,Strong Buy,Buy,07/06/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Netural,Strong Buy,Strong Buy,Buy,31/05/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,24/05/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Strong Buy,17/05/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,10/05/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,03/05/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,26/04/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,19/04/2021
NDX,,,,,,,
DJI,,,,,,,
SPX,,,Buy,Strong Buy,Strong Buy,Buy,12/04/2021
NDX,,,,,,,
DJI,,,,,,,
