,News Sentiment,Article Sentiment,Technical Score daily,Technical Score weekly,Technical Score monthly,Final Score,Date
0,,,Strong Sell,Sell,Netural,Sell,2022-05-16
1,,,Strong Sell,Strong Sell,Netural,Strong Sell,2022-05-09
2,,,Strong Sell,Strong Sell,Netural,Strong Sell,2022-05-02
3,,,Strong Sell,Sell,Netural,Sell,2022-04-25
4,,,Strong Sell,Sell,Netural,Sell,2022-04-18
5,,,Strong Sell,Sell,Netural,Sell,2022-04-11
6,,,Netural,Sell,Netural,Netural,2022-04-04
7,,,Strong Buy,Buy,Buy,Buy,2022-03-28
8,,,Buy,Netural,Buy,Buy,2022-03-21
9,,,Sell,Sell,Buy,Sell,2022-03-14
10,,,Strong Sell,Sell,Buy,Sell,2022-03-07
11,,,Sell,Sell,Buy,Sell,2022-02-28
12,,,Strong Sell,Sell,Buy,Sell,2022-02-21
13,,,Strong Sell,Sell,Buy,Sell,2022-02-14
14,,,Sell,Sell,Buy,Sell,2022-02-07
15,,,Sell,Sell,Strong Buy,Sell,2022-01-31
16,,,Strong Sell,Sell,Strong Buy,Sell,2022-01-24
17,,,Strong Sell,Sell,Strong Buy,Sell,2022-01-17
18,,,Sell,Netural,Strong Buy,Sell,2022-01-10
19,,,Netural,Buy,Strong Buy,Buy,2022-01-03
20,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-12-27
21,,,Buy,Strong Buy,Strong Buy,Buy,2021-12-20
22,,,Netural,Buy,Strong Buy,Buy,2021-12-13
23,,,Buy,Strong Buy,Strong Buy,Buy,2021-12-06
24,,,Buy,Strong Buy,Strong Buy,Buy,2021-11-29
25,,,Buy,Strong Buy,Strong Buy,Buy,2021-11-22
26,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-11-15
27,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-11-08
28,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-11-01
29,,,Strong Buy,Buy,Strong Buy,Strong Buy,2021-10-25
30,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-10-18
31,,,Netural,Buy,Strong Buy,Netural,2021-10-11
32,,,Sell,Buy,Strong Buy,Netural,2021-10-04
33,,,Sell,Buy,Strong Buy,Netural,2021-09-27
34,,,Sell,Strong Buy,Strong Buy,Netural,2021-09-20
35,,,Buy,Strong Buy,Strong Buy,Buy,2021-09-13
36,,,Buy,Strong Buy,Strong Buy,Strong Buy,2021-09-06
37,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-08-30
38,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-08-23
39,,,Buy,Strong Buy,Strong Buy,Buy,2021-08-16
40,,,Buy,Strong Buy,Strong Buy,Buy,2021-08-09
41,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-08-02
42,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-07-26
43,,,Buy,Strong Buy,Strong Buy,Strong Buy,2021-07-19
44,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-07-12
45,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-07-05
46,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-06-28
47,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-06-21
48,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-06-14
49,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-06-07
50,,,Buy,Strong Buy,Strong Buy,Strong Buy,2021-05-31
51,,,Strong Buy,Buy,Strong Buy,Strong Buy,2021-05-24
52,,,Sell,Buy,Strong Buy,Netural,2021-05-17
53,,,Sell,Buy,Strong Buy,Sell,2021-05-10
54,,,Netural,Strong Buy,Strong Buy,Buy,2021-05-03
55,,,Buy,Strong Buy,Strong Buy,Strong Buy,2021-04-26
56,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-04-19
57,,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,2021-04-12
