,News Sentiment,Article Sentiment,Technical Score daily,Technical Score weekly,Technical Score monthly,Final Score,Date
0,Strong Sell,Sell,Strong Sell,Sell,Netural,Sell,2022-05-16
1,Sell,Sell,Strong Sell,Strong Sell,Netural,Sell,2022-05-09
2,Sell,Sell,Strong Sell,Sell,Netural,Sell,2022-05-02
3,Sell,Sell,Strong Sell,Sell,Buy,Sell,2022-04-25
4,Sell,Netural,Sell,Sell,Buy,Sell,2022-04-18
5,Sell,Netural,Sell,Sell,Buy,Sell,2022-04-11
6,Sell,Sell,Buy,Buy,Buy,Netural,2022-04-04
7,Sell,Sell,Strong Buy,Buy,Strong Buy,Buy,2022-03-28
8,Sell,Netural,Strong Buy,Buy,Strong Buy,Buy,2022-03-21
9,Sell,Sell,Sell,Buy,Strong Buy,Sell,2022-03-14
10,Sell,Sell,Strong Sell,Sell,Strong Buy,Sell,2022-03-07
11,Netural,Sell,Sell,Sell,Buy,Sell,2022-02-28
12,Sell,Sell,Strong Sell,Sell,Buy,Sell,2022-02-21
13,Sell,Sell,Strong Sell,Sell,Buy,Sell,2022-02-14
14,Sell,Sell,Sell,Netural,Buy,Sell,2022-02-07
15,Sell,Sell,Sell,Netural,Strong Buy,Sell,2022-01-31
16,Sell,Sell,Strong Sell,Netural,Strong Buy,Sell,2022-01-24
17,Sell,Sell,Strong Sell,Netural,Strong Buy,Sell,2022-01-17
18,Sell,Netural,Netural,Buy,Strong Buy,Netural,2022-01-10
19,Netural,Sell,Buy,Strong Buy,Strong Buy,Netural,2022-01-03
20,Sell,Netural,Strong Buy,Strong Buy,Buy,Buy,2021-12-27
21,Sell,Netural,Buy,Strong Buy,Buy,Netural,2021-12-20
22,Netural,Netural,Buy,Buy,Buy,Buy,2021-12-13
23,Netural,Sell,Buy,Strong Buy,Buy,Netural,2021-12-06
24,Sell,Sell,Netural,Buy,Buy,Sell,2021-11-29
25,Netural,Netural,Buy,Strong Buy,Buy,Buy,2021-11-22
26,Netural,Netural,Strong Buy,Strong Buy,Buy,Buy,2021-11-15
27,Sell,Netural,Strong Buy,Strong Buy,Buy,Buy,2021-11-08
28,Sell,Netural,Strong Buy,Strong Buy,Buy,Buy,2021-11-01
29,Sell,Sell,Strong Buy,Strong Buy,Strong Buy,Buy,2021-10-25
30,Strong Sell,Netural,Strong Buy,Buy,Strong Buy,Buy,2021-10-18
31,Sell,Sell,Netural,Strong Buy,Strong Buy,Netural,2021-10-11
32,Sell,Sell,Sell,Buy,Strong Buy,Netural,2021-10-04
33,Sell,Netural,Sell,Buy,Strong Buy,Netural,2021-09-27
34,Sell,Sell,Sell,Buy,Strong Buy,Sell,2021-09-20
35,Sell,Sell,Netural,Buy,Strong Buy,Netural,2021-09-13
36,Sell,Netural,Buy,Buy,Strong Buy,Netural,2021-09-06
37,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy,Buy,2021-08-30
38,Netural,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-08-23
39,Strong Sell,Sell,Buy,Strong Buy,Strong Buy,Netural,2021-08-16
40,Netural,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-08-09
41,Sell,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-08-02
42,Sell,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-07-26
43,Sell,Netural,Buy,Strong Buy,Strong Buy,Buy,2021-07-19
44,Sell,Netural,Strong Buy,Buy,Strong Buy,Buy,2021-07-12
45,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy,Buy,2021-07-05
46,Sell,Sell,Strong Buy,Buy,Strong Buy,Buy,2021-06-28
47,Sell,Sell,Strong Buy,Buy,Strong Buy,Buy,2021-06-21
48,Sell,Sell,Buy,Buy,Strong Buy,Netural,2021-06-14
49,Sell,Netural,Strong Buy,Buy,Strong Buy,Buy,2021-06-07
50,Sell,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-05-31
51,Sell,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-05-24
52,Sell,Netural,Buy,Strong Buy,Strong Buy,Netural,2021-05-17
53,Netural,Sell,Buy,Strong Buy,Strong Buy,Netural,2021-05-10
54,Netural,Netural,Buy,Strong Buy,Strong Buy,Buy,2021-05-03
55,Netural,Netural,Strong Buy,Strong Buy,Strong Buy,Buy,2021-04-26
