,HeadLine,Sentiment,Date,URL
0,Which Blockchain ETF Is Best For Investors?,0,2022-05-12T02:26:44-04:00,https://seekingalpha.com/article/4510476-which-blockchain-etf-is-best-for-investors
1,BTB Real Estate Investment Trust 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-12T02:10:06-04:00,https://seekingalpha.com/article/4510490-btb-real-estate-investment-trust-2022-q1-results-earnings-call-presentation
2,Recession Looming?,-1,2022-05-12T00:58:00-04:00,https://seekingalpha.com/article/4510458-recession-looming
3,Are Stocks Nearing A Bottom?,-1,2022-05-11T22:30:38-04:00,https://seekingalpha.com/article/4510411-are-stocks-nearing-a-bottom
4,Bitcoin: The Return To Reality,0,2022-05-11T19:23:19-04:00,https://seekingalpha.com/article/4510340-bitcoin-return-to-reality
5,Which Blockchain ETF Is Best For Investors?,0,2022-05-12T02:26:44-04:00,https://seekingalpha.com/article/4510476-which-blockchain-etf-is-best-for-investors
6,BTB Real Estate Investment Trust 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-12T02:10:06-04:00,https://seekingalpha.com/article/4510490-btb-real-estate-investment-trust-2022-q1-results-earnings-call-presentation
7,Recession Looming?,-1,2022-05-12T00:58:00-04:00,https://seekingalpha.com/article/4510458-recession-looming
8,Are Stocks Nearing A Bottom?,-1,2022-05-11T22:30:38-04:00,https://seekingalpha.com/article/4510411-are-stocks-nearing-a-bottom
9,Bitcoin: The Return To Reality,0,2022-05-11T19:23:19-04:00,https://seekingalpha.com/article/4510340-bitcoin-return-to-reality
10,Gold: A Race To The Bottom,-1,2022-05-11T18:58:10-04:00,https://seekingalpha.com/article/4510336-gold-a-race-to-the-bottom
11,SPY: Looking For A Bottom,-1,2022-05-11T18:47:40-04:00,https://seekingalpha.com/article/4510332-spy-looking-for-a-bottom
12,U.S. Oil Demand Remains Weak But There Are Signs Of Stabilization,-1,2022-05-11T18:15:00-04:00,https://seekingalpha.com/article/4510322-us-oil-demand-remains-weak-but-there-are-signs-of-stabilization
13,U.S. Housing Component Of CPI Not Letting Up,-1,2022-05-11T18:00:00-04:00,https://seekingalpha.com/article/4510314-us-housing-component-of-cpi-not-letting-up
14,"Bitcoin: Bearish Sentiment Confirmed, Elliott Wave Invalidated",-1,2022-05-11T17:10:22-04:00,https://seekingalpha.com/article/4510302-bitcoin-bearish-sentiment-confirmed-elliott-wave-invalidated
15,Buy Low Bitcoin Play: Marathon Digital's Waning Production Set For Major Reversal,-1,2022-05-11T17:02:34-04:00,https://seekingalpha.com/article/4510298-marathon-digital-buy-low-bitcoin-play
16,NEAR Could Be Near A Bottom,-1,2022-05-11T16:54:12-04:00,https://seekingalpha.com/article/4510292-near-could-be-near-bottom
17,MicroStrategy: Bitcoin's Bearish Trend Could Lead To Its Downfall,0,2022-05-11T16:45:17-04:00,https://seekingalpha.com/article/4510285-microstrategy-bitcoin-bearish-trend-could-lead-downfall
18,MicroStrategy: A Make Or Break Moment?,-1,2022-05-11T16:30:26-04:00,https://seekingalpha.com/article/4510277-microstrategy-make-or-break-moment
19,Is The U.S. Dollar The Global Safe Haven?,-1,2022-05-11T16:01:00-04:00,https://seekingalpha.com/article/4510252-is-the-us-dollar-the-global-safe-haven
20,Industrial Synchronized Demand,-1,2022-05-11T15:30:00-04:00,https://seekingalpha.com/article/4510255-industrial-synchronized-demand
21,The U.S. Economy May Be Heading Toward A Hard Landing,-1,2022-05-11T15:12:34-04:00,https://seekingalpha.com/article/4510208-the-us-economy-may-be-heading-toward-a-hard-landing
22,Food Prices Send AIER's Everyday Price Index Up 0.5% In April,0,2022-05-11T15:03:00-04:00,https://seekingalpha.com/article/4510200-food-prices-send-aiers-everyday-price-index-up-0-5-percent-in-april
23,Zillow Will Always Be A Real Estate Titan; Invest For The Long Haul,-1,2022-05-11T14:05:22-04:00,https://seekingalpha.com/article/4510168-zillow-will-always-be-a-real-estate-titan-invest-for-the-long-haul
24,"Investor Sentiment Is So Bearish, It's Bullish",-1,2022-05-11T13:56:00-04:00,https://seekingalpha.com/article/4510166-investor-sentiment-so-bearish-its-bullish
