,HeadLine,Sentiment,Date,URL
0,BRT Apartments Corp. 2022 Q1 - Results - Earnings Call Presentation,0,2022-05-10T09:01:01-04:00,https://seekingalpha.com/article/4509479-brt-apartments-corp-2022-q1-results-earnings-call-presentation
1,"Bubbles And History, Harshly Rhyming",0,2022-05-10T08:28:47-04:00,https://seekingalpha.com/article/4509460-bubbles-and-history-harshly-rhyming
2,No Rest For The Weary,-1,2022-05-10T08:20:00-04:00,https://seekingalpha.com/article/4509457-no-rest-for-the-weary
3,"The Fed Is Pushing The U.S. Into A Recession, But Bear Markets Don't Last Forever",0,2022-05-10T07:36:00-04:00,https://seekingalpha.com/article/4509448-fed-pushing-us-into-recession-bear-markets-do-not-last-forever
4,Rates Spark: Markets Are Doing Central Bankers' Job,-1,2022-05-10T07:35:00-04:00,https://think.ing.com/articles/rates-spark-markets-are-doing-central-bankers-job/
5,National Retail Properties: A Dividend Aristocrat With A 4.9% Yield,0,2022-05-10T07:00:00-04:00,https://seekingalpha.com/article/4509259-national-retail-properties-a-dividend-aristocrat-with-a-4-9-percent-yield
6,Opendoor Q1 Earnings Review: Bad Timing,0,2022-05-10T06:12:14-04:00,https://seekingalpha.com/article/4509440-opendoor-q1-review-bad-timing
7,Defensive Value: The Safety Trade Of 2022,-1,2022-05-09T20:45:56-04:00,https://seekingalpha.com/article/4509288-defensive-value-safety-trade-of-2022
8,"La Nina, Tulips, Natural Gas And Grains",0,2022-05-09T19:07:44-04:00,https://seekingalpha.com/article/4509263-la-nina-tulips-natural-gas-and-grains
9,Redfin's Q1: The Beautiful Hype And The Ugly Numbers,-1,2022-05-09T18:07:46-04:00,https://seekingalpha.com/article/4509248-redfin-q1-beautiful-hype-ugly-numbers
10,How To Make The U.S. Strong: Support The Strong Dollar,1,2022-05-09T17:51:07-04:00,https://seekingalpha.com/article/4509243-how-to-make-the-us-strong-support-the-strong-dollar
11,"With The S&P 500 Plunging, Should You Go To Cash?",0,2022-05-09T17:26:17-04:00,https://seekingalpha.com/article/4509235-with-the-s-and-p-500-plunging-should-you-go-to-cash
