,Date,Open,High,Low,Close,Adj Close,Volume,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH_S,STOCH_M,CCI,ADX,ADX_D+,ADX_D-,AWS,MOM,MACD,MACD_S,STOCHRSI_K,STOCHRSI_D,WILLIAM,ULTIMATE
0,1993-02-01,43.96875,45.125,42.8125,44.40625,25.820547103881836,5417600.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
1,1993-03-01,44.5625,45.84375,44.21875,45.1875,26.274805068969727,3019200.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
3,1993-04-01,45.25,45.25,43.28125,44.03125,25.723411560058594,2697200.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
4,1993-05-01,44.09375,45.65625,43.84375,45.21875,26.417158126831055,1808000.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
5,1993-06-01,45.375,45.8125,44.21875,45.0625,26.32588005065918,3438000.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
7,1993-07-01,45.125,45.21875,44.15625,44.84375,26.383745193481445,6117600.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
8,1993-08-01,44.90625,46.5625,44.84375,46.5625,27.394969940185547,5440100.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
9,1993-09-01,46.40625,46.59375,44.8125,45.9375,27.02724838256836,4369900.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
11,1993-10-01,45.875,47.15625,45.71875,46.84375,27.732162475585938,6972900.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
12,1993-11-01,46.78125,47.0,45.53125,46.34375,27.436161041259766,5351100.0,45.44375,45.44375,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
13,1993-12-01,46.59375,47.15625,46.375,46.59375,27.584152221679688,6128000.0,45.6625,45.65284090909091,,,,,,,,,,,,,,,0.0,0.0,0.0,,2.1875,,,,,,
15,1994-01-01,46.59375,48.3125,46.40625,48.21875,28.74159812927246,6837100.0,45.965625,46.119369834710746,,,,,,,,,,,,,,,0.0,0.0,0.0,,3.03125,,,,,,
16,1994-02-01,48.15625,48.28125,46.5625,46.8125,27.903392791748047,10974400.0,46.24375,46.245393501126976,,,,,,,,,,,,,,,0.0,0.0,0.0,,2.78125,,,,,,
17,1994-03-01,46.8125,47.3125,43.53125,44.59375,26.580862045288086,14705500.0,46.18125,45.945094682740255,,,,,,,,,,,45.229551755768156,,,,0.0,0.0,0.0,,-0.625,,,,,-67.61363636363636,
19,1994-04-01,43.34375,45.359375,43.34375,45.09375,27.03394317626953,11429000.0,46.184375,45.79030474042384,,,,,,,,,,,48.274559765902595,,,,0.0,0.0,0.0,,0.03125,,,,,-63.975155279503106,
20,1994-05-01,45.09375,45.9375,44.171875,45.8125,27.464828491210938,8545100.0,46.28125,45.794340242164964,,,,,,,,,,,52.373602215397696,39.57392245435724,,,0.0,19.254574203749716,16.562005873051724,,0.96875,,,,,-49.68944099378882,
21,1994-06-01,45.703125,46.5625,44.0,44.46875,26.65925407409668,10352700.0,46.071875,45.553323834498606,,,,,,,,,,,45.16708274402204,36.32563772022345,,,0.0,19.77061510039106,14.897827126686858,,-2.09375,,,,,-77.35849056603773,
23,1994-07-01,44.6875,46.046875,44.375,45.90625,27.702993392944336,5452100.0,46.06875,45.61749222822613,,,,,,,,,,,52.669903459143946,41.508131828066205,39.13589733421563,,0.0,18.46683564319076,13.915385211447129,,-0.03125,,,,,-48.42767295597484,
24,1994-08-01,45.9375,47.984375,45.65625,47.65625,28.75907325744629,7945800.0,46.15,45.98817545945774,,,,,,,,,,,59.869001119387875,53.668763102725364,43.83417755033833,,0.0,24.294387102761867,12.663079240572014,,0.8125,,,,,-13.20754716981132,
