,Date,Open,High,Low,Close,Adj Close,Volume,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH_S,STOCH_M,CCI,ADX,ADX_D+,ADX_D-,AWS,MOM,MACD,MACD_S,STOCHRSI_K,STOCHRSI_D,WILLIAM,ULTIMATE
0,2012-05-21,130.16000366210938,133.22999572753906,129.9499969482422,132.10000610351562,109.21381378173828,883173900.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
1,2012-05-28,133.16000366210938,133.92999267578125,128.16000366210938,128.16000366210938,105.9563980102539,764680800.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2,2012-06-04,128.38999938964844,133.52999877929688,127.13999938964844,133.10000610351562,110.04058837890625,879586100.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
3,2012-06-11,134.1699981689453,134.25999450683594,131.16000366210938,134.13999938964844,110.9003677368164,923971800.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
5,2012-06-18,133.5800018310547,136.25,132.3300018310547,133.4600067138672,110.909912109375,810496700.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
6,2012-06-25,132.0500030517578,136.27000427246094,130.85000610351562,136.10000610351562,113.10383605957031,777590700.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
7,2012-07-02,136.47999572753906,137.8000030517578,134.85000610351562,135.49000549316406,112.59691619873047,487344100.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
8,2012-07-09,135.3800048828125,136.22999572753906,132.60000610351562,135.75,112.81295013427734,686624500.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
9,2012-07-16,135.44000244140625,138.17999267578125,134.5500030517578,136.47000122070312,113.41130065917969,622487000.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
10,2012-07-23,134.47000122070312,139.07000732421875,133.02999877929688,138.67999267578125,115.24789428710938,840929800.0,134.34500274658203,134.34500274658203,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
11,2012-07-30,138.52000427246094,139.63999938964844,135.5800018310547,139.35000610351562,115.8046875,723033300.0,135.07000274658202,135.2550033569336,,,,,,,,,,,,,,,0.0,0.0,0.0,,7.25,,,,,,
12,2012-08-06,139.72000122070312,140.9199981689453,139.55999755859375,140.83999633789062,117.04293060302734,475710400.0,136.33800201416017,136.27045662619852,,,,,,,,,,,,,,,0.0,0.0,0.0,,12.67999267578125,,,,,,
13,2012-08-13,140.60000610351562,142.3000030517578,140.0399932861328,142.17999267578125,118.15650177001953,455720100.0,137.24600067138672,137.34491772612265,,,,,,,,,,,,,,,0.0,0.0,0.0,,9.079986572265625,,,,,,
14,2012-08-20,141.97999572753906,143.08999633789062,140.22000122070312,141.50999450683594,117.59976959228516,528027900.0,137.98300018310547,138.10220441352507,,,,,,,,,,,76.01809755889423,,,,0.0,0.0,0.0,,7.3699951171875,,,,,-9.905969488156021,
15,2012-08-27,141.88999938964844,142.0800018310547,140.19000244140625,141.16000366210938,117.30889129638672,458457100.0,138.75299987792968,138.65816791326768,,,,,,,,,,,73.79553722895778,,,,0.0,0.0,0.0,,7.6999969482421875,,,,,-12.100269874935305,
16,2012-09-03,141.0399932861328,144.38999938964844,140.1300048828125,144.3300018310547,119.9432601928711,486431100.0,139.57599945068358,139.6894104437744,,,,,,,,,,,79.61032507859026,92.54864956767729,,,0.0,21.876728863015117,13.927224883216532,,8.229995727539062,,,,,-0.3478119338768116,
17,2012-09-10,144.19000244140625,148.11000061035156,143.4600067138672,147.24000549316406,122.3615493774414,658106600.0,140.7509994506836,141.0622459072998,,,,,,,,,,,83.27852089929627,94.17046289248161,,,0.0,26.81451429752755,12.744058631118707,,11.75,,,,,-5.040529513743081,
18,2012-09-17,146.94000244140625,147.19000244140625,145.6300048828125,145.8699951171875,121.22301483154297,608820000.0,141.76299896240235,141.9363821272794,,,,,,,,,,,76.3173764403652,93.87787960616613,93.532330688775,,0.0,25.99119963182539,12.352764190535252,,10.1199951171875,,,,,-12.978019733881684,
20,2012-09-24,145.14999389648438,146.24000549316406,142.9499969482422,143.97000122070312,120.28275299072266,637875800.0,142.51299896240235,142.30613105335644,,,,,,,,,,,67.84719742692354,85.99845054580099,91.34893101481624,,0.0,24.34613980451642,16.726701817692575,,7.5,,,,,-23.986099114972273,
21,2012-10-01,144.52000427246094,147.16000366210938,143.8300018310547,146.13999938964844,122.09574127197266,619770200.0,143.25899963378907,143.00319802359135,138.80200119018554,138.80200119018554,,,,,,,,,71.70915048277145,83.44479528933086,87.77370848043266,108.9412774236823,0.0,24.557915092352413,15.647198238694465,,7.4600067138671875,,,,,-12.701495283153445,
22,2012-10-08,145.60000610351562,146.1199951171875,142.5800018310547,142.88999938964844,119.38044738769531,599319200.0,143.61299896240234,142.98261645378355,139.34150085449218,139.19133435203915,,,,,,,,,60.07149999363495,76.55222660516513,81.99849081343233,73.46829347625422,0.0,22.85940327745231,16.993478948697714,,3.5399932861328125,,,,,-33.655725786378845,
23,2012-10-15,143.22999572753906,146.52000427246094,142.77000427246094,143.38999938964844,119.79814147949219,679092400.0,143.8679992675781,143.05668607848625,140.10300064086914,139.59120721276383,,,,,,,,,61.11699480660644,74.11434662936945,78.03712284128848,72.4253580397621,0.0,21.97238586390248,15.75718441899614,,2.5500030517578125,,,,,-31.299739042359324,
24,2012-10-22,143.14999389648438,143.6699981689453,140.38999938964844,141.35000610351562,118.09386444091797,718295200.0,143.78500061035157,142.74638062849158,140.51550064086913,139.75871186902592,,,,,,,,,54.811046603154985,63.405663611421744,71.35741228198545,28.25259859160011,0.0,20.563232889629575,19.40018794311868,,-0.829986572265625,,,,,-44.82754433699659,
25,2012-10-29,141.85000610351562,143.72000122070312,140.67999267578125,141.55999755859375,118.26927947998047,342136300.0,143.79000091552734,142.53067461578289,140.8865005493164,139.93026288708,,,,,,,,,55.32206794651727,57.199382023654096,64.90646408814843,26.31658169790803,0.0,19.425070334614915,18.23304023794701,,0.0500030517578125,,,,,-52.27457054968179,
26,2012-11-05,141.35000610351562,143.52000427246094,137.5500030517578,138.16000366210938,115.42867279052734,852323700.0,143.49000091552733,141.73600716966044,141.12150039672852,139.76166677041613,,,,,,,,,46.21022829747749,36.22480246005903,52.276616031711626,-26.073296515629902,0.0,17.232504767547212,22.092797913485146,,-3.0,,,,,-94.22347773314452,
27,2012-11-12,138.58999633789062,139.25,134.6999969482422,136.3699951171875,113.93316650390625,829813100.0,142.69400024414062,140.76036861466537,141.1349998474121,139.4386504224896,,,,,,,,,42.263520421104666,21.985109217405057,38.4697645670394,-98.23348786850174,0.0,15.771397445406135,25.530492886087014,,-7.9600067138671875,1.3524654818604063,,,,-87.54662406495851,
28,2012-11-19,137.89999389648438,141.39999389648438,136.41000366210938,141.35000610351562,118.09386444091797,418423200.0,142.1050003051758,140.86757543081995,141.4279998779297,139.620684296873,,,,,,,,,54.02751311062267,22.606603748722264,26.938838475395453,-37.5432682813845,0.0,18.244394157635465,23.18966706975754,,-5.8899993896484375,1.2921412499083829,,,,-50.41008695573018,
29,2012-11-26,140.64999389648438,142.50999450683594,139.0,142.14999389648438,118.76219940185547,693511300.0,141.73300018310547,141.10074242457713,141.7479995727539,139.86157092540742,,,,,,,,,55.59280568100524,39.19960220199855,27.930438389375286,-9.504996383199137,16.94435622844824,19.106853113845805,21.694844387615856,,-3.720001220703125,1.293970108645368,,,,-44.44448237331567,
30,2012-12-03,142.8000030517578,142.9199981689453,140.3699951171875,142.41000366210938,118.97943115234375,611416000.0,141.5770004272461,141.33878992231027,142.0449996948242,140.10427880509332,,,,,,,,,56.115799671052024,54.213290731625165,38.673165560781996,2.2216747123483964,16.039087181983067,18.961459842553147,20.65324113377882,,-1.55999755859375,1.301398396837925,,31.65147445674498,,-42.50555847607864,52.353513040241396
31,2012-12-10,142.2100067138672,144.5500030517578,141.8800048828125,142.10000610351562,118.72037506103516,670707900.0,141.17300109863282,141.47719286434761,142.21600036621095,140.29434807160973,139.5923344930013,139.5923344930013,,,,,,,55.279881504193185,56.077570610283125,49.830154514635616,24.567659659095515,15.16192478023767,21.122963609675942,19.592543604485797,,-4.0399932861328125,1.2676583798150887,,32.66928775998299,,-44.81724731975631,49.9641170025899
32,2012-12-17,142.47000122070312,145.5800018310547,141.94000244140625,142.7899932861328,119.29691314697266,886267200.0,141.16300048828126,141.71588385012674,142.38799972534179,140.53202856823097,139.94866739908855,139.7986350603001,,,,,,,56.8216257183799,59.149651283618404,56.48017087517556,37.94423672147212,14.689715250792995,21.625944769431566,18.218822186431165,,-0.100006103515625,1.281819356774463,,36.08651395834788,33.46909205835862,-35.228240353309836,47.38427687257515
34,2012-12-24,142.47999572753906,142.7100067138672,139.8699951171875,140.02999877929688,117.82077026367188,477549600.0,140.8270004272461,141.40935929179403,142.3474998474121,140.48421620738011,140.3443339029948,139.81356175184825,,,,,,,49.47412876686694,54.24379666936301,56.490339521088174,-56.29550752752803,13.78397251193754,20.390826277871632,21.22706153393422,,-3.3600006103515625,1.0581360093252385,,32.99124134804275,33.91568102212454,-57.22312231884484,49.0183577710308
35,2012-12-31,139.66000366210938,146.61000061035156,139.5399932861328,146.3699951171875,123.15519714355469,697573700.0,141.3289993286133,142.3112930782292,142.55699996948243,141.0447665797427,140.7866668701172,140.23655745283787,,,,,,,61.7194333060724,67.06942774695186,60.15429189997776,58.24757621294299,13.85702871753878,24.89786389836762,18.47565179109157,,5.019989013671875,1.3765816870320862,,44.43737918888988,37.8383781650935,-6.340354086989747,59.8320183822525
36,2013-01-07,145.85000610351562,147.14999389648438,144.97999572753906,147.07000732421875,123.74419403076172,566665900.0,141.88000030517577,143.1765138502273,142.83500061035156,141.61859903159757,141.21766713460286,140.67742518647535,,,,,,,62.79168579552404,78.59802033628264,66.63708158419917,121.29586374223537,14.070857219919903,24.897315032857154,17.716602430963782,3.7020289252786256,5.510009765625,1.6662300528956848,1.3582774990210937,63.52063240497079,46.98308431396781,-0.642462585317487,57.52835431099385
37,2013-01-14,146.88999938964844,148.49000549316406,146.1999969482422,148.3300018310547,124.80432891845703,591328800.0,142.89700012207032,144.1135116649232,143.19350051879883,142.2577802505935,141.7133336385091,141.17113980870627,,,,,,,64.70789946650618,97.28563214388463,80.98436007570638,142.99292221527625,14.627257672926204,26.396963240277564,16.92629759213441,4.064645879408886,10.169998168945312,1.9746865389136872,1.4815593069996125,88.6913415722718,65.54978438871082,-1.1602868960389137,58.48671847317683
38,2013-01-21,148.3300018310547,150.25,147.97999572753906,150.25,126.41983032226562,510031400.0,144.28500061035157,145.22923681675536,143.4895004272461,143.01894403625127,142.18500010172525,141.75687272427362,,,,,,,67.45809609193458,99.39908350621454,91.7609119954606,167.79662907165687,15.582219952798226,28.721352317043635,16.156907320979133,4.604174445657179,13.8800048828125,2.3470134227591757,1.654650130151525,100.0,84.07065799241418,-0.0,60.83012822003002
39,2013-01-28,150.2899932861328,151.4199981689453,149.50999450683594,151.24000549316406,127.25281524658203,596648600.0,145.2740005493164,146.32210384882967,143.6895004272461,143.80190227024298,142.71000010172526,142.3686877416214,,,,,,,68.80784531521056,99.25440065458942,98.64637210156286,179.1315222819269,16.742725380199158,30.008410131090006,15.517752954184704,5.847114787382225,9.889999389648438,2.690950725252236,1.8619102491716673,100.0,96.23044719075726,-1.076511140192852,66.95210834458636
40,2013-02-04,150.32000732421875,151.88999938964844,149.42999267578125,151.8000030517578,127.72399139404297,677372500.0,146.23900146484374,147.31808552208932,143.98600082397462,144.56362615419678,143.24500020345053,142.97715969711405,,,,,,,69.5765366619494,99.466650009486,99.37337805676331,165.680531262235,17.929939599807557,29.441296197564586,14.710584410060903,6.836173517563765,9.650009155273438,2.9744233375747626,2.0844128668522863,100.0,100.0,-0.5235388313491288,74.27610387337225
41,2013-02-11,151.74000549316406,152.61000061035156,151.38999938964844,152.11000061035156,127.98479461669922,517551100.0,147.20900115966796,148.18934281086428,144.39300079345702,145.28232848335438,143.7663335164388,143.56637523990355,,,,,,,70.01702874570728,98.53607137973806,99.08570734793783,156.1719185943787,19.20277092004101,30.24070762739626,14.312959580157901,7.502292229147514,9.699996948242188,3.1873498523297883,2.305000263947787,100.0,100.0,-2.7917358892438764,81.9028561637796
42,2013-02-18,152.3699951171875,153.27999877929688,149.94000244140625,151.88999938964844,127.79971313476562,545293800.0,148.18800048828126,148.8621894615523,144.68050079345704,145.91163047443,144.2066670735677,144.1033832495645,,,,,,,69.25071743849072,96.14841604953428,98.0503791462528,128.3230673055735,19.68599719791931,28.008646418945933,16.460837933127127,7.824409888772408,9.789993286132812,3.3002995901321412,2.504060129184658,98.75656746287707,99.5855224876257,-8.239477130804131,77.49245247976248
43,2013-02-25,152.6300048828125,152.8699951171875,148.72999572753906,152.11000061035156,127.98479461669922,880703700.0,149.12000122070313,149.4527005795158,145.1415008544922,146.50195143975589,144.6320002237956,144.61993920832495,,,,,,,69.60892300537311,93.59184059705039,96.09210934210758,102.95944757471771,19.58748914060886,25.496559294466863,17.605850890245826,7.735674375646255,9.32000732421875,3.3687326776386897,2.6769946388754646,98.09436666884034,98.95031137723915,-8.193265188800817,75.6483333507621
44,2013-03-04,151.75999450683594,155.64999389648438,151.52000427246094,155.44000244140625,130.78668212890625,524491200.0,150.66100158691407,150.54130091804134,145.74400100708007,147.35319439229403,145.11866709391276,145.3180078040076,,,,,,,74.4589124601576,94.08792419861238,94.60939361506568,128.356085120242,20.259236995270925,29.171635444676227,16.058525639600166,7.795851449405433,15.410003662109375,3.6495994002121392,2.8715155911427996,98.09436666884034,98.31510026685258,-1.3034850845579355,76.95355953766662
45,2013-03-11,155.32000732421875,156.8000030517578,155.1300048828125,155.8300018310547,131.1148223876953,546984500.0,151.60700225830078,151.5028829022256,146.46800079345704,148.1605093864617,145.57366739908855,145.9962009670429,,,,,,,74.96285798698264,94.96110511961542,94.21362330509272,133.18108361799503,21.162268256188263,30.634689170097268,15.46659473201959,8.280382268569042,9.460006713867188,3.8591718617990978,3.0690468452740594,99.33779920596325,98.50884418121466,-5.619934367794956,73.21935827422776
47,2013-03-18,154.33999633789062,155.9499969482422,153.58999633789062,155.60000610351562,131.5036163330078,647799500.0,152.46000213623046,152.24781439336923,147.1700012207031,148.869032883324,146.0433344523112,146.61580129842824,,,,,,,74.03512595217825,95.37470361767829,94.80791097863535,107.70068585177991,21.302464532400474,29.007434694898837,18.111234781470344,8.28379355037913,8.529998779296875,3.961040406295126,3.247445557478273,98.78674213637372,98.73963600372578,-6.952469694612218,74.22059577264159
48,2013-03-25,156.00999450683594,156.85000610351562,154.35000610351562,156.6699981689453,132.40785217285156,441062300.0,153.29400177001952,153.05184780711033,148.09550094604492,149.61198195814507,146.56033426920573,147.26445916104225,,,,,,,75.55106531394865,95.46256317257037,95.2661239699547,108.50669175487334,21.675626383927217,29.406977447053826,17.076445212472397,8.552676840389466,8.339996337890625,4.081067374794458,3.41416992094151,98.78674213637372,98.9704278262369,-1.0399064198817203,75.5891026243513
49,2013-04-01,156.58999633789062,157.2100067138672,153.77000427246094,155.16000366210938,131.1317138671875,646416800.0,153.78500213623047,153.43514887165563,149.035001373291,150.14036497757024,146.92133433024088,147.77384912885304,,,,,,,69.39369705164137,93.46867694141145,94.76864791055338,93.50819221042019,21.752857797366726,27.111558847374457,17.059589688414196,9.04214921839096,4.910003662109375,4.008142305411923,3.5329643978355927,83.94788518683214,93.84045648652653,-11.60159306127172,73.38772744780918
50,2013-04-08,155.27000427246094,159.7100067138672,154.75,158.8000030517578,134.20802307128906,550706900.0,154.54100189208984,154.41057690440147,149.90750122070312,150.96509241320715,147.30666758219402,148.48521389807271,,,,,,,74.73842483040752,93.72687065634722,94.21937025677634,117.55228309169546,22.494938492085435,29.6294332827071,15.215409508012723,9.298796979118805,7.55999755859375,4.195700765834488,3.6655116714353717,83.03815454001224,88.59092728773938,-6.1778885498049405,75.21266822130654
51,2013-04-15,158.0,158.1300048828125,153.5500030517578,155.47999572753906,131.40216064453125,908872400.0,154.90900115966798,154.60501669042648,150.57400131225586,151.39508320504828,147.6270009358724,148.93649014513505,,,,,,,63.79563417303575,83.63677302159407,90.27744020645092,82.85142249354233,22.626232820426473,26.378909624891953,16.05374636894011,8.856590944177952,3.67999267578125,4.029990134708385,3.7384073640899746,49.704821206678915,72.2302869778411,-31.31019932414117,67.79135200432378
52,2013-04-22,155.77999877929688,159.27000427246094,154.75,158.24000549316406,133.73475646972656,596455400.0,155.52200164794922,155.26592374546968,151.3655014038086,152.0469805658212,148.10266774495443,149.5367169417821,,,,,,,67.99136454068605,83.32664804912226,86.89676390902117,102.67788660679093,23.05628615639561,26.272023053911063,14.571567912810332,8.83768027810487,6.1300048828125,4.074405773850799,3.80560704604214,43.10762678942638,58.61686751203917,-12.531967978687147,66.39558429237518
53,2013-04-29,158.6699981689453,161.8800048828125,158.10000610351562,161.3699951171875,136.38002014160156,584067600.0,156.47000122070312,156.37575490396384,152.3290008544922,152.93488671357036,148.61033426920574,150.30015424342116,144.68700103759767,144.68700103759767,,,,,71.96000312143053,84.09314471262628,83.68552192778087,138.21682917985618,24.083751708383637,29.55576864496957,13.452956289243714,9.194209469065953,9.479995727539062,4.312458158869077,3.9069772686075277,35.04791152243869,42.62011983951466,-3.8783985592928283,69.30540699612128
54,2013-05-06,161.49000549316406,163.6999969482422,161.4199981689453,163.41000366210938,138.10411071777344,464602100.0,157.6000015258789,157.65470922362667,153.36000137329103,153.9325168991455,149.2943344116211,151.1459509801107,145.31320098876952,145.42123643463734,,,,,74.2048476048722,93.88415690665461,87.10131655613439,156.8747744725988,25.416357102553004,31.91013573262078,12.80064601768269,10.114825708725874,11.300003051757812,4.612557339787514,4.048093282843525,64.56395197234,47.57316342806836,-1.9371627420561548,69.66859013487375
55,2013-05-13,163.1999969482422,167.0399932861328,162.82000732421875,166.94000244140625,141.0874786376953,561277200.0,158.7500015258789,159.34294435413204,154.70550155639648,155.17132504602748,150.07933451334637,152.16492204212977,146.08880096435547,146.26510961137336,,,,,77.55359470865407,97.87944632744207,91.95224931557432,184.09174179424397,27.240311944257854,35.99156588441995,11.694627713567396,11.110119314754712,11.5,5.076708368886443,4.253816300052109,86.00000333913412,61.870622277970945,-0.5460997163248231,71.53983355565111
56,2013-05-20,166.77999877929688,169.07000732421875,163.94000244140625,165.30999755859375,139.7098846435547,787545500.0,159.6980010986328,160.42786311857964,155.6525016784668,156.1369129043671,150.87800089518228,153.01299143028874,146.73300079345702,147.01196796224474,,,,,72.85058037316327,93.01031922988692,94.92464082132786,174.99530882760573,29.234620917341044,36.35534929444088,10.506212844530427,12.5987076254452,9.479995727539062,5.252476354094171,4.453548310860521,84.78805715297041,78.45067082148151,-18.485779851958323,68.19093566307374
57,2013-05-27,167.0399932861328,167.77999877929688,163.1300048828125,163.4499969482422,138.13792419433594,588687100.0,160.48300018310547,160.9773419967001,156.47150115966798,156.83339709902188,151.6076675415039,153.68634662499542,147.31920074462892,147.65659654993092,,,,,67.79814197991095,84.44593333994494,91.77856629909131,136.72373747637025,30.69234585649743,33.07444522735305,11.130089629719343,13.700648767807905,7.8499908447265625,5.18195291656113,4.599229232000643,64.96945162087057,78.58583737099171,-27.630320411882042,59.877761227479304
58,2013-06-03,163.8300018310547,165.10000610351562,160.25,164.8000030517578,139.2788543701172,926323300.0,161.2960006713867,161.67237127943787,157.2950012207031,157.5921214754729,152.49566752115885,154.4033567170446,147.9460006713867,148.32888700098295,,,,,69.45402383724152,76.51779843066126,84.65801700016438,99.99797818100515,30.764891927589684,30.03033755391524,15.57105285482369,13.698677556654985,8.1300048828125,5.175338711178256,4.714451127836166,45.34548955070915,65.03433277485006,-24.330504444175883,65.7174814947037
59,2013-06-10,165.30999755859375,165.39999389648438,161.3000030517578,163.17999267578125,137.90975952148438,747319300.0,162.0979995727539,161.9464842605912,157.94150085449218,158.12429968502607,153.38933410644532,154.9695912950276,148.48760040283204,148.91128330195542,,,,,65.12618758641662,70.02935342643657,76.99769506568093,87.36961916202061,30.89696702238833,28.2743053252309,14.367221849497374,13.306530851476339,8.019989013671875,4.981946825559021,4.767950267380737,26.630523848370796,45.64848833998351,-37.95111486463236,61.767281569680094
60,2013-06-17,164.2899932861328,165.99000549316406,157.47000122070312,159.07000732421875,134.43624877929688,1050353400.0,162.125,161.42348845397802,158.33300094604493,158.2143670792349,153.9800008138021,155.23413426465285,148.95920043945313,149.3096646361618,,,,,55.651638965672774,57.76180291268583,68.10298492326122,43.50448081204758,29.558394485691426,24.103914693204608,18.87855651162224,12.08711956248564,0.2700042724609375,4.445792564330304,4.703518726770651,16.933088930569305,29.63636744321642,-64.4329719531343,51.906397298535246
62,2013-06-24,157.41000366210938,161.82000732421875,155.72999572753906,160.4199981689453,136.2945098876953,809325800.0,162.61900024414064,161.24103567488118,158.7640007019043,158.42442718301686,154.58900095621746,155.5687061294459,149.45260040283202,149.74536399038863,,,,,57.8221525930793,47.29377781754152,58.361644718887966,14.343086143218637,27.753238285963363,21.64621024428428,19.86687326668899,10.053618756462555,4.94000244140625,4.082755959079947,4.5793661732325095,6.527096374573797,16.6969030511713,-55.734579729608825,53.818506971995426
