,Date,Open,High,Low,Close,Adj Close,Volume,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH_S,STOCH_M,CCI,ADX,ADX_D+,ADX_D-,AWS,MOM,MACD,MACD_S,STOCHRSI_K,STOCHRSI_D,WILLIAM,ULTIMATE
0,2012-05-14,134.30999755859375,135.61000061035156,129.5500030517578,129.74000549316406,107.26268768310547,1146413600.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
1,2012-05-21,130.16000366210938,133.22999572753906,129.9499969482422,132.10000610351562,109.2138442993164,883173900.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2,2012-05-28,133.16000366210938,133.92999267578125,128.16000366210938,128.16000366210938,105.9564208984375,764680800.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
3,2012-06-04,128.38999938964844,133.52999877929688,127.13999938964844,133.10000610351562,110.04057312011719,879586100.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
4,2012-06-11,134.1699981689453,134.25999450683594,131.16000366210938,134.13999938964844,110.90037536621094,923971800.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
6,2012-06-18,133.5800018310547,136.25,132.3300018310547,133.4600067138672,110.90989685058594,810496700.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
7,2012-06-25,132.0500030517578,136.27000427246094,130.85000610351562,136.10000610351562,113.10381317138672,777590700.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
8,2012-07-02,136.47999572753906,137.8000030517578,134.85000610351562,135.49000549316406,112.596923828125,487344100.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
9,2012-07-09,135.3800048828125,136.22999572753906,132.60000610351562,135.75,112.8130111694336,686624500.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
10,2012-07-16,135.44000244140625,138.17999267578125,134.5500030517578,136.47000122070312,113.41129302978516,622487000.0,133.4510040283203,133.4510040283203,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
11,2012-07-23,134.47000122070312,139.07000732421875,133.02999877929688,138.67999267578125,115.24791717529297,840929800.0,134.34500274658203,134.40172923694956,,,,,,,,,,,,,,,0.0,0.0,0.0,,8.939987182617188,,,,,,
12,2012-07-30,138.52000427246094,139.63999938964844,135.5800018310547,139.35000610351562,115.80469512939453,723033300.0,135.07000274658202,135.30141593996157,,,,,,,,,,,,,,,0.0,0.0,0.0,,7.25,,,,,,
